workerid,proliferate.condition,first_response_value,item,item_number,item_type,response,sentence,sentence_id,trial_sequence_total,wrong_attempts,error
5456,Experiment Group,,,practice_good,practice_good,0.9,,,0,0,
5456,Experiment Group,,,practice_bad,practice_bad,0.05,,,0,0,
5456,Experiment Group,,14,,,0.92,Kevin thanked the assistants who you think prepared the presentation yesterday.,1142,1,,
5456,Experiment Group,,16,,,0.99,Oliver examined the prototype which you assume that the candidates designed last spring.,1163,2,,
5456,Experiment Group,,9,,,0.97,Ben respects the professors who we assume that established the system long ago.,1091,3,,
5456,Experiment Group,,8,,,0.98,Charles uninstalled the software which you think the experts updated last month.,1084,4,,
5456,Experiment Group,,3,,,1,Sophia identifies the researchers who we assume that published the article last year.,1031,5,,
5456,Experiment Group,,8002,,,0.96,Barry likes drinking milkshakes. ,8002,6,,
5456,Experiment Group,,8001,,,1,Joshua hates eating sushi. ,8001,7,,
5456,Experiment Group,,8006,,,1,Tommy attempted to take a picture.,8006,8,,
5456,Experiment Group,,10,,,0.99,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,9,,
5456,Experiment Group,,8005,,,0.98,Vivian attempted to write short stories.,8005,10,,
5456,Experiment Group,,9003,,,0,Matthew the problem solved after thinking about it careful.,9003,11,,
5456,Experiment Group,,8007,,,1,It seems to Carla that Robert studied for the test effectively.,8007,12,,
5456,Experiment Group,,8004,,,1,Anna borrowed a book from the library yesterday afternoon.,8004,13,,
5456,Experiment Group,,7,,,1,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,14,,
5456,Experiment Group,,9001,,,0,John was kissed John.,9001,15,,
5456,Experiment Group,,13,,,1,Laura greets the neighbors who we believe that organized the festival last weekend.,1131,16,,
5456,Experiment Group,,9005,,,1,Who was that the principal would fire expected by the reporters?,9005,17,,
5456,Experiment Group,,5,,,1,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,18,,
5456,Experiment Group,,9002,,,0,The money was stolen the money.,9002,19,,
5456,Experiment Group,,2,,,1,Mary recognizes the employees who we think that completed the report very early.,1021,20,,
5456,Experiment Group,,8003,,,1,The manager reviewed the report before the meeting started.,8003,21,,
5456,Experiment Group,,9006,,,0,What was that the movers would break feared by the family?,9006,22,,
5456,Experiment Group,,4,,,1,Kate called the workers who you said that filed the complaint this week.,1041,23,,
5456,Experiment Group,,9004,,,0,The visitors the paintings admires  in the museum yesterday.,9004,24,,
5456,Experiment Group,,8008,,,1,It seems to Dave that Gregory left deliberately. ,8008,25,,
5456,Experiment Group,,1,,,1,Julia knows the students who you believe that submitted the assignment on time.,1011,26,,
5456,Experiment Group,,9008,,,0,"Want to eat, James did the pie.",9008,27,,
5456,Experiment Group,,9007,,,0,"Promise to wash, Neal did the car.",9007,28,,
5456,Experiment Group,,12,,,1,Derek drafted the proposal which you supposed the directors approved that evening.,1124,29,,
5456,Experiment Group,,11,,,1,Paul visits the technicians who we claim processed the application earlier today.,1112,30,,
5456,Experiment Group,,6,,,1,Emily approved the plan which you suppose that the colleagues finalized right away.,1063,31,,
5456,Experiment Group,,15,,,1,Natalie invites the guests who we suppose that delivered the packages this afternoon.,1151,32,,
5382,Experiment Group,,,practice_good,practice_good,0.97,,,0,0,
5382,Experiment Group,,,practice_bad,practice_bad,0.03,,,0,0,
5382,Experiment Group,,10,,,0.75,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,1,,
5382,Experiment Group,,4,,,0.98,Kate called the workers who you said filed the complaint this week.,1042,2,,
5382,Experiment Group,,13,,,0.95,Laura attended the festival which we believe that the neighbors organized last weekend.,1133,3,,
5382,Experiment Group,,3,,,0.98,Sophia downloaded the article which we assume the researchers published last year.,1034,4,,
5382,Experiment Group,,9007,,,0.23,"Promise to wash, Neal did the car.",9007,5,,
5382,Experiment Group,,9001,,,0.05,John was kissed John.,9001,6,,
5382,Experiment Group,,8006,,,0.98,Tommy attempted to take a picture.,8006,7,,
5382,Experiment Group,,9004,,,0.01,The visitors the paintings admires  in the museum yesterday.,9004,8,,
5382,Experiment Group,,8,,,0.87,Charles notices the experts who you think that updated the software last month.,1081,9,,
5382,Experiment Group,,9006,,,0.4,What was that the movers would break feared by the family?,9006,10,,
5382,Experiment Group,,2,,,0.84,Mary recognizes the employees who we think that completed the report very early.,1021,11,,
5382,Experiment Group,,8007,,,0.97,It seems to Carla that Robert studied for the test effectively.,8007,12,,
5382,Experiment Group,,9003,,,0.8,Matthew the problem solved after thinking about it careful.,9003,13,,
5382,Experiment Group,,9002,,,0.58,The money was stolen the money.,9002,14,,
5382,Experiment Group,,8003,,,0.97,The manager reviewed the report before the meeting started.,8003,15,,
5382,Experiment Group,,12,,,0.86,Derek supports the directors who you supposed that approved the proposal that evening.,1121,16,,
5382,Experiment Group,,8001,,,0.97,Joshua hates eating sushi. ,8001,17,,
5382,Experiment Group,,11,,,0.86,Paul visits the technicians who we claim that processed the application earlier today.,1111,18,,
5382,Experiment Group,,9005,,,0.37,Who was that the principal would fire expected by the reporters?,9005,19,,
5382,Experiment Group,,14,,,0.81,Kevin thanked the assistants who you think that prepared the presentation yesterday.,1141,20,,
5382,Experiment Group,,8002,,,0.98,Barry likes drinking milkshakes. ,8002,21,,
5382,Experiment Group,,1,,,0.89,Julia knows the students who you believe that submitted the assignment on time.,1011,22,,
5382,Experiment Group,,8004,,,0.98,Anna borrowed a book from the library yesterday afternoon.,8004,23,,
5382,Experiment Group,,6,,,0.95,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,24,,
5382,Experiment Group,,8005,,,0.97,Vivian attempted to write short stories.,8005,25,,
5382,Experiment Group,,9008,,,0.92,"Want to eat, James did the pie.",9008,26,,
5382,Experiment Group,,8008,,,0.97,It seems to Dave that Gregory left deliberately. ,8008,27,,
5382,Experiment Group,,5,,,0.92,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,28,,
5382,Experiment Group,,15,,,0.94,Natalie received the packages which we suppose the guests delivered this afternoon.,1154,29,,
5382,Experiment Group,,16,,,0.99,Oliver interviewed the candidates who you assume designed the prototype last spring.,1162,30,,
5382,Experiment Group,,7,,,0.97,Jake cancelled the meeting which we believe that the secretaries scheduled this morning.,1073,31,,
5382,Experiment Group,,9,,,0.88,Ben respects the professors who we assume that established the system long ago.,1091,32,,
5461,Experiment Group,,,practice_good,practice_good,0.95,,,0,0,
5461,Experiment Group,,,practice_bad,practice_bad,0.07,,,0,0,
5461,Experiment Group,,16,,,1,Oliver examined the prototype which you assume that the candidates designed last spring.,1163,1,,
5461,Experiment Group,,4,,,0.97,Kate called the workers who you said that filed the complaint this week.,1041,2,,
5461,Experiment Group,,2,,,0.93,Mary recognizes the employees who we think completed the report very early.,1022,3,,
5461,Experiment Group,,11,,,0.97,Paul filed the application which we claim the technicians processed earlier today.,1114,4,,
5461,Experiment Group,,12,,,0.93,Derek supports the directors who you supposed that approved the proposal that evening.,1121,5,,
5461,Experiment Group,,9005,,,1,Who was that the principal would fire expected by the reporters?,9005,6,,
5461,Experiment Group,,7,,,0.91,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,7,,
5461,Experiment Group,,8001,,,1,Joshua hates eating sushi. ,8001,8,,
5461,Experiment Group,,8005,,,1,Vivian attempted to write short stories.,8005,9,,
5461,Experiment Group,,9002,,,0,The money was stolen the money.,9002,10,,
5461,Experiment Group,,13,,,0.99,Laura greets the neighbors who we believe that organized the festival last weekend.,1131,11,,
5461,Experiment Group,,9004,,,0.26,The visitors the paintings admires  in the museum yesterday.,9004,12,,
5461,Experiment Group,,9008,,,0.06,"Want to eat, James did the pie.",9008,13,,
5461,Experiment Group,,8007,,,0.96,It seems to Carla that Robert studied for the test effectively.,8007,14,,
5461,Experiment Group,,6,,,0.88,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,15,,
5461,Experiment Group,,8006,,,0.98,Tommy attempted to take a picture.,8006,16,,
5461,Experiment Group,,9001,,,0.1,John was kissed John.,9001,17,,
5461,Experiment Group,,5,,,0.86,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,18,,
5461,Experiment Group,,8002,,,0.96,Barry likes drinking milkshakes. ,8002,19,,
5461,Experiment Group,,9006,,,0.19,What was that the movers would break feared by the family?,9006,20,,
5461,Experiment Group,,8,,,0.29,Charles notices the experts who you think that updated the software last month.,1081,21,,
5461,Experiment Group,,8008,,,0.77,It seems to Dave that Gregory left deliberately. ,8008,22,,
5461,Experiment Group,,8004,,,0.95,Anna borrowed a book from the library yesterday afternoon.,8004,23,,
5461,Experiment Group,,8003,,,0.78,The manager reviewed the report before the meeting started.,8003,24,,
5461,Experiment Group,,9,,,0.92,Ben respects the professors who we assume that established the system long ago.,1091,25,,
5461,Experiment Group,,9003,,,0.11,Matthew the problem solved after thinking about it careful.,9003,26,,
5461,Experiment Group,,9007,,,0.17,"Promise to wash, Neal did the car.",9007,27,,
5461,Experiment Group,,10,,,0.64,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,28,,
5461,Experiment Group,,14,,,0.91,Kevin thanked the assistants who you think that prepared the presentation yesterday.,1141,29,,
5461,Experiment Group,,3,,,0.95,Sophia identifies the researchers who we assume published the article last year.,1032,30,,
5461,Experiment Group,,1,,,0.83,Julia graded the assignment which you believe the students submitted on time.,1014,31,,
5461,Experiment Group,,15,,,0.8,Natalie received the packages which we suppose that the guests delivered this afternoon.,1153,32,,
5409,Experiment Group,,,practice_good,practice_good,1,,,0,0,
5409,Experiment Group,,,practice_bad,practice_bad,0.02,,,0,0,
5409,Experiment Group,,6,,,0.39,Emily meets the colleagues who you suppose finalized the plan right away.,1062,1,,
5409,Experiment Group,,5,,,0.3,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,2,,
5409,Experiment Group,,11,,,0.34,Paul filed the application which we claim that the technicians processed earlier today.,1113,3,,
5409,Experiment Group,,13,,,0.63,Laura attended the festival which we believe the neighbors organized last weekend.,1134,4,,
5409,Experiment Group,,8002,,,1,Barry likes drinking milkshakes. ,8002,5,,
5409,Experiment Group,,9001,,,0.02,John was kissed John.,9001,6,,
