workerid,proliferate.condition,condition,first_response_value,item,item_number,item_type,response,sentence,sentence_id,trial_sequence_total,wrong_attempts,error
5203,Experiment Group,,,,practice_good,practice_good,1,,,0,0,
5203,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5203,Experiment Group,filler_good,,8003,,,0.98,Lisa likes taking vacations.,8003,1,,
5203,Experiment Group,null,,12,,,0.06,Derek supports the directors who you suppose approved the proposal that evening.,1122,2,,
5203,Experiment Group,that,,7,,,0.07,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,3,,
5203,Experiment Group,filler_bad,,9006,,,0.02,What was that the movers would break feared by the family?,9006,4,,
5203,Experiment Group,null,,9,,,0.94,Ben respects the professors who we assume established the system long ago.,1092,5,,
5203,Experiment Group,that,,6,,,0.11,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,6,,
5203,Experiment Group,filler_good,,8005,,,0.97,Vivian attempted to write short stories.,8005,7,,
5203,Experiment Group,filler_bad,,9012,,,0.23,"Tried to bury, Kimberly did the treasure chest.",9012,8,,
5203,Experiment Group,filler_bad,,9008,,,0.09,Who is that the jail must release accepted by few citizens?,9008,9,,
5203,Experiment Group,null,,3,,,0.98,Sophia identifies the researchers who we assume published the article last year.,1032,10,,
5203,Experiment Group,filler_good,,8004,,,0.98,Ali hates missing work. ,8004,11,,
5203,Experiment Group,that,,8,,,0.08,Charles notices the experts who you think that updated the software last month.,1081,12,,
5203,Experiment Group,null,,10,,,0.63,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,13,,
5203,Experiment Group,filler_good,,8012,,,0.85,It seems to Mike that Martha helped the student generously. ,8012,14,,
5203,Experiment Group,filler_bad,,9002,,,0,The money was stolen the money.,9002,15,,
5203,Experiment Group,that,,4,,,0.47,Kate calls the workers who you say that filed the complaint this week.,1041,16,,
5203,Experiment Group,filler_bad,,9007,,,0.2,Who was that Martian kidnapped believed by no one?,9007,17,,
5203,Experiment Group,null,,1,,,0.77,Julia knows the students who you believe submitted the assignment on time.,1012,18,,
5203,Experiment Group,filler_good,,8011,,,0.87,It seems to Nathan that Keith finished the work efficiently.,8011,19,,
5203,Experiment Group,that,,11,,,0.17,Paul visits the technicians who we claim that processed the application earlier today.,1111,20,,
5203,Experiment Group,filler_good,,8009,,,0.93,It seems to Carla that Robert studied for the test effectively.,8009,21,,
5203,Experiment Group,filler_bad,,9001,,,0.01,John was kissed John.,9001,22,,
5203,Experiment Group,that,,2,,,0.19,Mary recognizes the employees who we think that completed the report very early.,1021,23,,
5203,Experiment Group,null,,5,,,0.73,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,24,,
5204,Experiment Group,,,,practice_good,practice_good,0.91,,,0,0,
5204,Experiment Group,,,,practice_bad,practice_bad,0.01,,,0,0,
5204,Experiment Group,filler_bad,,9008,,,0.02,Who is that the jail must release accepted by few citizens?,9008,1,,
5204,Experiment Group,that,,1,,,0.21,Julia knows the students who you believe that submitted the assignment on time.,1011,2,,
5204,Experiment Group,filler_good,,8004,,,0.97,Ali hates missing work. ,8004,3,,
5204,Experiment Group,null,,11,,,0.87,Paul visits the technicians who we claim processed the application earlier today.,1112,4,,
5204,Experiment Group,filler_bad,,9012,,,0.03,"Tried to bury, Kimberly did the treasure chest.",9012,5,,
5204,Experiment Group,filler_good,,8002,,,0.97,Barry likes drinking milkshakes. ,8002,6,,
5204,Experiment Group,null,,4,,,0.52,Kate calls the workers who you say filed the complaint this week.,1042,7,,
5204,Experiment Group,that,,2,,,0.12,Mary recognizes the employees who we think that completed the report very early.,1021,8,,
5204,Experiment Group,filler_bad,,9003,,,0.01,The hedges were trimmed the hedges.,9003,9,,
5204,Experiment Group,filler_good,,8001,,,0.97,Joshua hates eating sushi. ,8001,10,,
5204,Experiment Group,null,,8,,,0.18,Charles notices the experts who you think updated the software last month.,1082,11,,
5204,Experiment Group,that,,12,,,0.04,Derek supports the directors who you suppose that approved the proposal that evening.,1121,12,,
5204,Experiment Group,filler_bad,,9005,,,0.03,Who was that the principal would fire expected by the reporters?,9005,13,,
5204,Experiment Group,null,,3,,,0.21,Sophia identifies the researchers who we assume published the article last year.,1032,14,,
5204,Experiment Group,that,,9,,,0.1,Ben respects the professors who we assume that established the system long ago.,1091,15,,
5204,Experiment Group,filler_good,,8005,,,0.97,Vivian attempted to write short stories.,8005,16,,
5204,Experiment Group,filler_good,,8006,,,0.97,Tommy attempted to take a picture.,8006,17,,
5204,Experiment Group,filler_bad,,9010,,,0.02,"Want to eat, James did the pie.",9010,18,,
5204,Experiment Group,null,,7,,,0.2,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,19,,
5204,Experiment Group,that,,10,,,0.09,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,20,,
5204,Experiment Group,that,,6,,,0.09,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,21,,
5204,Experiment Group,filler_bad,,9009,,,0.03,"Promise to wash, Neal did the car.",9009,22,,
5204,Experiment Group,null,,5,,,0.87,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,23,,
5204,Experiment Group,filler_good,,8009,,,0.97,It seems to Carla that Robert studied for the test effectively.,8009,24,,
5208,Experiment Group,,,,practice_good,practice_good,0.97,,,0,0,
5208,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5208,Experiment Group,filler_good,,8002,,,0.99,Barry likes drinking milkshakes. ,8002,1,,
5208,Experiment Group,filler_bad,,9007,,,0.04,Who was that Martian kidnapped believed by no one?,9007,2,,
5208,Experiment Group,null,,5,,,0.84,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,3,,
5208,Experiment Group,that,,6,,,0.69,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,4,,
5208,Experiment Group,filler_bad,,9003,,,0.01,The hedges were trimmed the hedges.,9003,5,,
5208,Experiment Group,null,,12,,,0.86,Derek supports the directors who you suppose approved the proposal that evening.,1122,6,,
5208,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,7,,
5208,Experiment Group,that,,4,,,1,Kate calls the workers who you say that filed the complaint this week.,1041,8,,
5208,Experiment Group,filler_bad,,9006,,,0.11,What was that the movers would break feared by the family?,9006,9,,
5208,Experiment Group,null,,8,,,0.99,Charles notices the experts who you think updated the software last month.,1082,10,,
5208,Experiment Group,filler_good,,8004,,,1,Ali hates missing work. ,8004,11,,
5208,Experiment Group,that,,9,,,0.98,Ben respects the professors who we assume that established the system long ago.,1091,12,,
5208,Experiment Group,that,,1,,,0.99,Julia knows the students who you believe that submitted the assignment on time.,1011,13,,
5208,Experiment Group,null,,3,,,0.99,Sophia identifies the researchers who we assume published the article last year.,1032,14,,
5208,Experiment Group,filler_bad,,9011,,,0.04,"Refuse to write, Maria did the article.",9011,15,,
5208,Experiment Group,filler_good,,8010,,,0.99,It seems to Dave that Gregory left deliberately. ,8010,16,,
5208,Experiment Group,that,,11,,,1,Paul visits the technicians who we claim that processed the application earlier today.,1111,17,,
5208,Experiment Group,filler_good,,8008,,,0.99,Joey attempted to escape through a window. ,8008,18,,
5208,Experiment Group,null,,7,,,0.98,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,19,,
5208,Experiment Group,filler_bad,,9010,,,0.1,"Want to eat, James did the pie.",9010,20,,
5208,Experiment Group,filler_bad,,9005,,,0.02,Who was that the principal would fire expected by the reporters?,9005,21,,
5208,Experiment Group,that,,2,,,0.95,Mary recognizes the employees who we think that completed the report very early.,1021,22,,
5208,Experiment Group,null,,10,,,0.88,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,23,,
5208,Experiment Group,filler_good,,8001,,,0.99,Joshua hates eating sushi. ,8001,24,,
5207,Experiment Group,,,,practice_good,practice_good,0.77,,,0,0,
5207,Experiment Group,,,,practice_bad,practice_bad,0.05,,,0,0,
5207,Experiment Group,that,,12,,,0.15,Derek supports the directors who you suppose that approved the proposal that evening.,1121,1,,
5207,Experiment Group,null,,8,,,0.36,Charles notices the experts who you think updated the software last month.,1082,2,,
5207,Experiment Group,filler_good,,8010,,,0.78,It seems to Dave that Gregory left deliberately. ,8010,3,,
5207,Experiment Group,filler_bad,,9002,,,0,The money was stolen the money.,9002,4,,
5207,Experiment Group,filler_good,,8012,,,0.83,It seems to Mike that Martha helped the student generously. ,8012,5,,
5207,Experiment Group,null,,10,,,0.75,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,6,,
5207,Experiment Group,filler_bad,,9008,,,0.03,Who is that the jail must release accepted by few citizens?,9008,7,,
5207,Experiment Group,that,,1,,,0.29,Julia knows the students who you believe that submitted the assignment on time.,1011,8,,
5207,Experiment Group,null,,4,,,0.73,Kate calls the workers who you say filed the complaint this week.,1042,9,,
5207,Experiment Group,filler_good,,8002,,,0.99,Barry likes drinking milkshakes. ,8002,10,,
5207,Experiment Group,filler_bad,,9004,,,0,The student was punished the student.,9004,11,,
5207,Experiment Group,that,,3,,,0.93,Sophia identifies the researchers who we assume that published the article last year.,1031,12,,
5207,Experiment Group,filler_bad,,9012,,,0.01,"Tried to bury, Kimberly did the treasure chest.",9012,13,,
5207,Experiment Group,filler_good,,8011,,,0.91,It seems to Nathan that Keith finished the work efficiently.,8011,14,,
5207,Experiment Group,that,,11,,,0.05,Paul visits the technicians who we claim that processed the application earlier today.,1111,15,,
5207,Experiment Group,null,,9,,,0.24,Ben respects the professors who we assume established the system long ago.,1092,16,,
5207,Experiment Group,null,,7,,,0.36,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,17,,
5207,Experiment Group,filler_good,,8007,,,0.97,Valerie attempted to cancel her magazine subscription.,8007,18,,
5207,Experiment Group,that,,5,,,0.06,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,19,,
5207,Experiment Group,filler_bad,,9011,,,0.02,"Refuse to write, Maria did the article.",9011,20,,
5207,Experiment Group,filler_good,,8008,,,0.96,Joey attempted to escape through a window. ,8008,21,,
5207,Experiment Group,that,,2,,,0.22,Mary recognizes the employees who we think that completed the report very early.,1021,22,,
5207,Experiment Group,filler_bad,,9009,,,0.02,"Promise to wash, Neal did the car.",9009,23,,
5207,Experiment Group,null,,6,,,0.44,Emily meets the colleagues who you suppose finalized the plan right away.,1062,24,,
