workerid,proliferate.condition,condition,first_response_value,item,item_number,item_type,response,sentence,sentence_id,trial_sequence_total,wrong_attempts,error
5228,Experiment Group,,,,practice_good,practice_good,0.99,,,0,0,
5228,Experiment Group,,,,practice_bad,practice_bad,0.01,,,0,0,
5228,Experiment Group,filler_good,,8010,,,0.99,It seems to Dave that Gregory left deliberately. ,8010,1,,
5228,Experiment Group,null,,10,,,0.96,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,2,,
5228,Experiment Group,that,,11,,,0.5,Paul visits the technicians who we claim that processed the application earlier today.,1111,3,,
5228,Experiment Group,filler_bad,,9012,,,0.01,"Tried to bury, Kimberly did the treasure chest.",9012,4,,
5228,Experiment Group,that,,6,,,0.35,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,5,,
5228,Experiment Group,null,,7,,,0.84,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,6,,
5228,Experiment Group,filler_good,,8003,,,0.98,Lisa likes taking vacations.,8003,7,,
5228,Experiment Group,filler_bad,,9010,,,0.84,"Want to eat, James did the pie.",9010,8,,
5228,Experiment Group,null,,2,,,0.53,Mary recognizes the employees who we think completed the report very early.,1022,9,,
5228,Experiment Group,that,,12,,,0.24,Derek supports the directors who you suppose that approved the proposal that evening.,1121,10,,
5228,Experiment Group,filler_bad,,9009,,,0.02,"Promise to wash, Neal did the car.",9009,11,,
5228,Experiment Group,filler_good,,8005,,,0.98,Vivian attempted to write short stories.,8005,12,,
5228,Experiment Group,filler_good,,8008,,,0.99,Joey attempted to escape through a window. ,8008,13,,
5228,Experiment Group,filler_bad,,9003,,,0.02,The hedges were trimmed the hedges.,9003,14,,
5228,Experiment Group,that,,9,,,0.25,Ben respects the professors who we assume that established the system long ago.,1091,15,,
5228,Experiment Group,null,,1,,,0.88,Julia knows the students who you believe submitted the assignment on time.,1012,16,,
5228,Experiment Group,filler_bad,,9011,,,0.13,"Refuse to write, Maria did the article.",9011,17,,
5228,Experiment Group,filler_good,,8009,,,0.98,It seems to Carla that Robert studied for the test effectively.,8009,18,,
5228,Experiment Group,that,,3,,,0.19,Sophia identifies the researchers who we assume that published the article last year.,1031,19,,
5228,Experiment Group,null,,4,,,0.94,Kate calls the workers who you say filed the complaint this week.,1042,20,,
5228,Experiment Group,that,,5,,,0.21,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,21,,
5228,Experiment Group,null,,8,,,0.87,Charles notices the experts who you think updated the software last month.,1082,22,,
5228,Experiment Group,filler_bad,,9004,,,0.02,The student was punished the student.,9004,23,,
5228,Experiment Group,filler_good,,8007,,,0.98,Valerie attempted to cancel her magazine subscription.,8007,24,,
5242,Experiment Group,,0.05,,practice_good,practice_good,0.82,,,0,3,
5242,Experiment Group,,,,practice_bad,practice_bad,0.03,,,0,0,
5242,Experiment Group,that,,1,,,0.67,Julia knows the students who you believe that submitted the assignment on time.,1011,1,,
5242,Experiment Group,null,,2,,,0.69,Mary recognizes the employees who we think completed the report very early.,1022,2,,
5242,Experiment Group,filler_good,,8005,,,0.96,Vivian attempted to write short stories.,8005,3,,
5242,Experiment Group,filler_bad,,9008,,,0.04,Who is that the jail must release accepted by few citizens?,9008,4,,
5242,Experiment Group,filler_good,,8002,,,0.98,Barry likes drinking milkshakes. ,8002,5,,
5242,Experiment Group,null,,6,,,0.25,Emily meets the colleagues who you suppose finalized the plan right away.,1062,6,,
5242,Experiment Group,filler_bad,,9009,,,0.05,"Promise to wash, Neal did the car.",9009,7,,
5242,Experiment Group,that,,12,,,0.1,Derek supports the directors who you suppose that approved the proposal that evening.,1121,8,,
5242,Experiment Group,null,,10,,,0.84,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,9,,
5242,Experiment Group,that,,8,,,0.15,Charles notices the experts who you think that updated the software last month.,1081,10,,
5242,Experiment Group,filler_bad,,9004,,,0.05,The student was punished the student.,9004,11,,
5242,Experiment Group,filler_good,,8001,,,1,Joshua hates eating sushi. ,8001,12,,
5242,Experiment Group,filler_good,,8003,,,0.98,Lisa likes taking vacations.,8003,13,,
5242,Experiment Group,filler_bad,,9005,,,0.08,Who was that the principal would fire expected by the reporters?,9005,14,,
5242,Experiment Group,that,,3,,,0.67,Sophia identifies the researchers who we assume that published the article last year.,1031,15,,
5242,Experiment Group,null,,7,,,0.92,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,16,,
